Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10275205	Windows Phone Blue\Experiences\RealWorld\Search	I search for Ashley Furniture and this is what I get?	I search for Ashley Furniture and this is what I get?
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10304438	Windows Phone Blue\Experiences\RealWorld\Search	Cortana said The weather is really mixed for the next several days - in fact every day looks pretty much the same to me	Cortana said The weather is really mixed for the next several days - in fact every day looks pretty much the same to me
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10342299	Windows Phone Blue\Experiences\RealWorld\Search	Music has the maps app icon	Music has the maps app icon
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10352360	Windows Phone Blue\Experiences\RealWorld\Search	UI: Text cut off at end of Do not show me updates for weather in Newton	UI: Text cut off at end of Do not show me updates for weather in Newton
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10354179	Windows Phone Blue\Experiences\RealWorld\Search	Cortana: Searching for install Netflix performs a web search rather than opening the store to the Netflix landing page	Cortana: Searching for install Netflix performs a web search rather than opening the store to the Netflix landing page
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10367398	Windows Phone Blue\Experiences\RealWorld\Search	[TopIssueParentId:175743] Outage had been going off and on more than 12 hours now	[TopIssueParentId:175743] Outage had been going off and on more than 12 hours now
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10370409	Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement	Turn off the wifi - interpreted as turn of alarm	Turn off the wifi - interpreted as turn of alarm
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10370621	Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement	问今天吃点什么，不是查询今天活动	Asking what to eat tonight, not a query event
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10383219	Windows Phone Blue\Experiences\RealWorld\Search	Cortana shows previous Seahawks game  not next game 	Cortana shows previous Seahawks game  not next game
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10384304	Windows Phone Blue\Experiences\RealWorld\Search	NASA:Cortana seems to be very bad at searching for places initially but gets better. For the user  the initial experience is paramount.	NASA:Cortana seems to be very bad at searching for places initially but gets better. For the user  the initial experience is paramount.
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10394140	Windows Phone Blue\Experiences\RealWorld\Search	Speech Reco starts failing consistently sometimes  until sapisvr is restarted.	Speech Reco starts failing consistently sometimes  until sapisvr is restarted.
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10403744	Windows Phone Blue\Experiences\RealWorld\Search	[TopIssueParentId:175028] What is the address for the bravern in bellevue..  Yielded an overview of my calendar	[TopIssueParentId:175028] What is the address for the bravern in bellevue..  Yielded an overview of my calendar
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10405775	Windows Phone Blue\Experiences\RealWorld\Search	Answer contains unnesscary english phrase. 回答的英文部分很奇怪	Answer contains unnesscary english phrase. Answering the Chinese portion of the strange
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10410596	Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement	#012 Query：明天是星期几 Expect：告诉我结果 Actual：提醒	#012 Query: tomorrow is the day of the week Expect: will tell me the result of Actual: remind
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10418714	Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\SERP	Keyword is 淘宝	Keyword is Taobao
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10424674	Windows Phone Blue\CorePlat\DeviceFundamentals\Telemetry\UnknownPSMapping	False trigger I was thinking about it at the dentist today	False trigger I was thinking about it at the dentist today
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10425050	Windows Phone Blue\Experiences\RealWorld\VoiceFramework	打电话，查找联系人时喊吆吧儿一直识别错	Phone: shout shout has been recognized the wrong when looking for contacts
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10458937	Windows Phone Blue\Experiences\RealWorld\Search	Expected time in stand answer. Somehow weve regressed because Im seeing it trigger correctly on m.bing on iPhone.  	Expected time in stand answer. Somehow weve regressed because Im seeing it trigger correctly on m.bing on iPhone.
